Time (s),RMS Current (A),Peak Current (A),Min Current (A)
0.067545,0.137649,0.007852,-0.298455
0.067560,0.057180,-0.043199,-0.094251
0.067575,0.057180,-0.043199,-0.094251
0.067590,0.062858,0.007852,-0.094251
0.067604,0.038798,0.007852,-0.043199
0.067619,0.073175,0.007852,-0.145302
0.067633,0.062858,0.007852,-0.094251
0.067647,0.053932,0.007852,-0.094251
0.067662,0.127361,-0.094251,-0.145302
0.067676,0.160884,0.212056,-0.145302
0.069069,0.179609,-0.094251,-0.247404
0.069089,0.160136,-0.094251,-0.196353
0.069105,0.092316,-0.043199,-0.145302
0.069130,0.156847,-0.145302,-0.196353
0.069145,0.099628,-0.043199,-0.145302
0.069160,0.137795,-0.043199,-0.247404
0.069176,0.084373,-0.043199,-0.145302
0.069190,0.086486,-0.043199,-0.094251
0.069205,0.092316,-0.043199,-0.145302
0.069219,0.033829,0.007852,-0.043199
0.069234,0.077951,-0.043199,-0.094251
0.069248,0.065666,0.007852,-0.094251
0.069263,0.050475,0.007852,-0.094251
0.069278,0.056472,0.109954,-0.043199
0.069292,0.053932,0.007852,-0.094251
0.069306,0.038798,0.007852,-0.043199
0.069321,0.057180,-0.043199,-0.094251
0.069335,0.038798,0.007852,-0.043199
0.069350,0.050475,0.007852,-0.094251
0.069370,0.033829,0.007852,-0.043199
0.070764,0.038276,0.058903,-0.043199
0.070785,0.043199,-0.043199,-0.043199
0.070801,0.068359,-0.043199,-0.094251
0.070817,0.042731,0.058903,-0.043199
0.070832,0.042731,0.058903,-0.043199
0.070846,0.038798,0.007852,-0.043199
0.070861,0.033829,0.007852,-0.043199
0.070876,0.053932,0.007852,-0.094251
0.070890,0.075334,0.058903,-0.145302
0.070905,0.043199,-0.043199,-0.043199
0.070920,0.042731,0.058903,-0.043199
0.070935,0.038276,0.058903,-0.043199
0.070949,0.059582,0.109954,-0.043199
0.070964,0.038798,0.007852,-0.043199
0.070978,0.085785,0.109954,-0.145302
0.070993,0.093177,0.161005,-0.043199
0.071007,0.103570,0.161005,0.007852
0.071022,0.131691,0.263107,-0.043199
0.071036,0.083173,0.109954,0.058903
0.071051,0.067172,0.109954,0.007852
0.085259,0.202184,0.416261,0.058903
0.085281,0.062215,0.109954,-0.043199
0.085296,0.027990,0.007852,-0.043199
0.085312,0.067471,0.109954,-0.043199
0.085326,0.073175,0.007852,-0.145302
0.085341,0.053932,0.007852,-0.094251
0.085355,0.056472,0.109954,-0.043199
0.085370,0.050475,0.007852,-0.094251
0.085385,0.057180,-0.043199,-0.094251
0.085399,0.053932,0.007852,-0.094251
0.085414,0.062858,0.007852,-0.094251
0.085428,0.053932,0.007852,-0.094251
0.085443,0.053932,0.007852,-0.094251
0.085458,0.053932,0.007852,-0.094251
0.085529,0.053932,0.007852,-0.094251
0.085546,0.043199,-0.043199,-0.043199
0.085560,0.033829,0.007852,-0.043199
0.085575,0.053932,0.007852,-0.094251
0.085589,0.053932,0.007852,-0.094251
0.085604,0.073175,0.007852,-0.145302
0.086984,0.042731,0.058903,-0.043199
0.087005,0.056472,0.109954,-0.043199
0.087021,0.201492,0.007852,-0.349506
0.087036,0.111227,-0.043199,-0.145302
0.087051,0.130009,-0.043199,-0.196353
0.087066,0.147628,-0.094251,-0.247404
0.087081,0.111227,-0.043199,-0.145302
0.087095,0.156847,-0.145302,-0.196353
0.087110,0.097799,0.007852,-0.145302
0.087125,0.127361,-0.094251,-0.145302
0.087140,0.152307,-0.094251,-0.196353
0.087155,0.086486,-0.043199,-0.094251
0.087170,0.220405,0.007852,-0.451608
0.087184,0.077951,-0.043199,-0.094251
0.087198,0.057180,-0.043199,-0.094251
0.087213,0.057180,-0.043199,-0.094251
0.087227,0.050475,0.007852,-0.094251
0.087242,0.050075,0.058903,-0.043199
0.087256,0.050475,0.007852,-0.094251
0.087271,0.038276,0.058903,-0.043199
0.088643,0.043199,-0.043199,-0.043199
0.088664,0.053932,0.007852,-0.094251
0.088680,0.038798,0.007852,-0.043199
0.088695,0.042731,0.058903,-0.043199
0.088710,0.050475,0.007852,-0.094251
0.088724,0.043199,-0.043199,-0.043199
0.088739,0.046764,0.007852,-0.094251
0.088754,0.065666,0.007852,-0.094251
0.088769,0.081962,0.109954,-0.094251
0.088784,0.050475,0.007852,-0.094251
0.088798,0.056472,0.109954,-0.043199
0.088814,0.033829,0.007852,-0.043199
0.088829,0.053932,0.007852,-0.094251
0.088843,0.053932,0.007852,-0.094251
0.088860,0.101224,0.007852,-0.196353
0.088875,0.038798,0.007852,-0.043199
0.088890,0.136331,0.007852,-0.298455
0.088904,0.033829,0.007852,-0.043199
0.088924,0.099020,0.161005,-0.145302
0.088938,0.119058,0.161005,0.058903
0.106006,0.091220,0.161005,0.007852
0.106029,0.097387,0.058903,-0.196353
0.106045,0.119058,0.161005,0.058903
0.106060,0.052801,0.058903,0.007852
0.106074,0.064741,0.109954,-0.043199
0.106089,0.067471,0.109954,-0.043199
0.106105,0.042258,0.058903,-0.043199
0.106119,0.053558,0.058903,-0.094251
0.106134,0.049672,0.058903,-0.043199
0.106149,0.033829,0.007852,-0.043199
0.106164,0.053932,0.007852,-0.094251
0.106178,0.057180,-0.043199,-0.094251
0.106193,0.075601,-0.043199,-0.145302
0.106207,0.046764,0.058903,-0.043199
0.106222,0.046764,0.058903,-0.043199
0.106236,0.065666,0.007852,-0.094251
0.106251,0.057180,-0.043199,-0.094251
0.106265,0.027990,0.007852,-0.043199
0.106280,0.042731,0.058903,-0.043199
0.106294,0.057180,-0.043199,-0.094251
0.107659,0.079730,0.109954,-0.094251
0.107679,0.056827,0.058903,-0.094251
0.107695,0.038798,0.007852,-0.043199
0.107710,0.043199,-0.043199,-0.043199
0.107725,0.033829,0.007852,-0.043199
0.107739,0.136331,0.007852,-0.298455
0.107754,0.159005,-0.043199,-0.247404
0.107769,0.109593,0.007852,-0.145302
0.107783,0.109593,0.007852,-0.145302
0.107798,0.254907,-0.094251,-0.502660
0.107813,0.120235,-0.043199,-0.196353
0.107828,0.125936,-0.043199,-0.196353
0.107842,0.117367,-0.094251,-0.145302
0.107857,0.102991,0.007852,-0.145302
0.107871,0.111227,-0.043199,-0.145302
0.107885,0.086486,-0.043199,-0.094251
0.107899,0.057180,-0.043199,-0.094251
0.107914,0.161134,-0.043199,-0.298455
0.107928,0.068359,-0.043199,-0.094251
0.107943,0.121561,0.007852,-0.247404
0.109418,0.053932,0.007852,-0.094251
0.109437,0.043199,-0.043199,-0.043199
0.109453,0.053932,0.007852,-0.094251
0.109467,0.033829,0.007852,-0.043199
0.109482,0.073175,0.007852,-0.145302
0.109496,0.043199,-0.043199,-0.043199
0.109511,0.046764,0.007852,-0.094251
0.109526,0.038276,0.058903,-0.043199
0.109541,0.043199,-0.043199,-0.043199
0.109555,0.038798,0.007852,-0.043199
0.109570,0.038798,0.007852,-0.043199
0.109584,0.094037,0.007852,-0.196353
0.109599,0.027990,0.007852,-0.043199
0.109613,0.057180,-0.043199,-0.094251
0.109627,0.038798,0.007852,-0.043199
0.109642,0.033829,0.007852,-0.043199
0.109656,0.057180,-0.043199,-0.094251
0.109670,0.053932,0.007852,-0.094251
0.109684,0.043199,-0.043199,-0.043199
0.109699,0.027990,0.007852,-0.043199
0.126745,0.038798,0.007852,-0.043199
0.126766,0.050475,0.007852,-0.094251
0.126782,0.072345,0.109954,-0.043199
0.126797,0.140528,0.161005,-0.094251
0.126812,0.140385,0.212056,0.058903
0.126827,0.103570,0.161005,0.007852
0.126841,0.109954,0.109954,0.109954
0.126856,0.092961,0.109954,0.058903
0.126870,0.085550,0.109954,-0.094251
0.126885,0.056115,0.109954,0.007852
0.126899,0.052801,0.058903,0.007852
0.126914,0.076912,0.109954,-0.043199
0.126929,0.033229,0.058903,-0.043199
0.126943,0.027990,0.007852,-0.043199
0.126958,0.050475,0.007852,-0.094251
0.126972,0.043199,-0.043199,-0.043199
0.126986,0.033829,0.007852,-0.043199
0.127000,0.053932,0.007852,-0.094251
0.127015,0.042731,0.058903,-0.043199
0.127029,0.043199,-0.043199,-0.043199
0.128386,0.053932,0.007852,-0.094251
0.128405,0.057180,-0.043199,-0.094251
0.128421,0.068359,-0.043199,-0.094251
